12/31/15;1/31/16;2/29/16;3/31/16;4/30/16;5/31/16;6/30/16;7/31/16;8/31/16;9/30/16;10/31/16;11/30/16;12/31/16;1/31/17;2/28/17;3/31/17;4/30/17;5/31/17;6/30/17;7/31/17;8/31/17;9/30/17;10/31/17;11/30/17;12/31/17;1/31/18;2/28/18;3/31/18;4/30/18;5/31/18;6/30/18;7/31/18;8/31/18;9/30/18;10/31/18;11/30/18;12/31/18;1/31/19;2/28/19;3/31/19;4/30/19;5/31/19;6/30/19;7/31/19;8/31/19;9/30/19;10/31/19;11/30/19;12/31/19;1/31/20;2/29/20;3/31/20;4/30/20;5/31/20;6/30/20;7/31/20;8/31/20;9/30/20;10/31/20;11/30/20;12/31/20;1/31/21;2/28/21;3/31/21;4/30/21;5/31/21;6/30/21;7/31/21;8/31/21;9/30/21;10/31/21;11/30/21;12/31/21;1/31/22;2/28/22;3/31/22;4/30/22;5/31/22;6/30/22;7/31/22;8/31/22
ABEV3;ABEV3;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;ITUB4;ITUB4;ITUB4;ITUB4;VALE3;VALE3;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;VALE3;ITUB4;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3
AMER3;BBAS3;ABEV3;BBDC4;BBDC4;ABEV3;ABEV3;ABEV3;BBDC4;ABEV3;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;VALE3;BBDC4;BBDC4;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;VALE3;VALE3;VALE3;VALE3;ITUB4;ITUB4;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;VALE3;ITUB4;VALE3;ITUB4;ITUB4;ITUB4;ITUB4;B3SA3;B3SA3;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4
AURE3;BBDC3;BBDC4;ABEV3;ABEV3;BBDC4;BBDC4;BBDC4;ABEV3;BBDC4;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;BBDC4;VALE3;VALE3;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;PETR4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;PETR4;BBDC4;PETR4;BBDC4;BBDC4;BBDC4;B3SA3;B3SA3;ITUB4;ITUB4;B3SA3;B3SA3;PETR4;PETR4;PETR4;PETR4;BBDC4;BBDC4;PETR4;PETR4;PETR4;PETR4;PETR4;ITUB4;ITUB4;PETR3;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4
B3SA3;BBDC4;BRFS3;PETR4;PETR4;BRFS3;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;VALE5;VALE5;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;PETR4;BBDC4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;BBDC4;PETR4;BBDC4;PETR4;B3SA3;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;BBDC4;BBDC4;BBDC4;B3SA3;B3SA3;PETR4;PETR4;BBDC4;BBDC4;BBDC4;PETR3;BBDC4;PETR3;PETR3;ITUB4;BBDC4;PETR3;BBDC4;BBDC4;BBDC4;BBDC4;PETR3;PETR3
B3SA3;BBSE3;CIEL3;BRFS3;PETR3;PETR4;BRFS3;BRFS3;BRFS3;BRFS3;PETR3;VALE5;VALE5;VALE5;VALE5;VALE5;VALE5;VALE5;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;PETR4;ABEV3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;ABEV3;B3SA3;PETR3;B3SA3;B3SA3;PETR3;B3SA3;B3SA3;PETR4;B3SA3;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;PETR4;B3SA3;B3SA3;BBDC4;BBDC4;B3SA3;B3SA3;B3SA3;PETR3;PETR3;BBDC4;PETR3;BBDC4;BBDC4;BBDC4;PETR3;BBDC4;B3SA3;PETR3;PETR3;PETR3;BBDC4;BBDC4
BBAS3;BRAP4;ITSA4;ITSA4;B3SA3;CIEL3;CIEL3;PETR3;PETR3;PETR3;BRFS3;PETR3;PETR3;VALE3;VALE3;VALE3;BBAS3;VALE3;VALE3;VALE3;B3SA3;B3SA3;B3SA3;B3SA3;B3SA3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;B3SA3;ABEV3;B3SA3;PETR3;PETR3;B3SA3;PETR3;PETR3;ABEV3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;PETR3;B3SA3;B3SA3;B3SA3;B3SA3;B3SA3;ABEV3;B3SA3;B3SA3;B3SA3;PETR3;B3SA3;B3SA3;B3SA3;B3SA3;B3SA3
BBDC3;BRFS3;UGPA3;PETR3;CIEL3;PETR3;PETR3;B3SA3;ITSA4;ITSA4;VALE5;VALE3;VALE3;PETR3;PETR3;BBAS3;VALE3;B3SA3;B3SA3;B3SA3;ITSA4;PETR3;PETR3;PETR3;PETR3;B3SA3;B3SA3;ITSA4;ITSA4;ITSA4;B3SA3;ITSA4;B3SA3;B3SA3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;B3SA3;B3SA3;B3SA3;B3SA3;PETR3;PETR3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;BBAS3;BBAS3;ABEV3;ABEV3;ABEV3;ABEV3;MGLU3;MGLU3;MGLU3;MGLU3;ABEV3;MGLU3;MGLU3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;B3SA3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3;ABEV3
BBDC4;BRKM5;B3SA3;B3SA3;VALE5;B3SA3;B3SA3;CIEL3;B3SA3;VALE5;BBAS3;BRFS3;BRFS3;BBAS3;BBAS3;PETR3;PETR3;PETR3;PETR3;PETR3;BBAS3;BBAS3;BBAS3;ITSA4;ITSA4;ITSA4;ITSA4;B3SA3;B3SA3;B3SA3;ITSA4;B3SA3;ITSA4;ITSA4;B3SA3;B3SA3;B3SA3;B3SA3;B3SA3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;ABEV3;ITSA4;BBAS3;BBAS3;BBAS3;MGLU3;ABEV3;ABEV3;ABEV3;ABEV3;MGLU3;ABEV3;ABEV3;WEGE3;MGLU3;MGLU3;MGLU3;MGLU3;WEGE3;WEGE3;WEGE3;WEGE3;JBSS3;ITSA4;HAPV3;HAPV3;JBSS3;BBAS3;BBAS3;BBAS3;BBAS3
BBSE3;BRML3;PETR4;CIEL3;ITSA4;ITSA4;ITSA4;ITSA4;CIEL3;CIEL3;ITSA4;BBAS3;BBAS3;ITSA4;ITSA4;B3SA3;B3SA3;BBAS3;ITSA4;ITSA4;PETR3;ITSA4;ITSA4;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;PETR3;ITSA4;MGLU3;MGLU3;BBAS3;BBAS3;WEGE3;WEGE3;WEGE3;ITSA4;WEGE3;WEGE3;MGLU3;WEGE3;HAPV3;WEGE3;WEGE3;MGLU3;ITSA4;JBSS3;JBSS3;WEGE3;WEGE3;BBAS3;ITSA4;BBAS3;JBSS3;ELET3;ELET3;ELET3
BRAP4;B3SA3;JBSS3;UGPA3;BRFS3;UGPA3;UGPA3;VALE5;VALE5;B3SA3;B3SA3;ITSA4;ITSA4;BRFS3;B3SA3;ITSA4;ITSA4;ITSA4;BBAS3;BBAS3;BRFS3;BRFS3;BRFS3;BRFS3;UGPA3;UGPA3;UGPA3;UGPA3;UGPA3;UGPA3;UGPA3;UGPA3;SUZB3;SUZB3;LREN3;LREN3;LREN3;LREN3;LREN3;LREN3;JBSS3;JBSS3;LREN3;JBSS3;JBSS3;JBSS3;JBSS3;JBSS3;LREN3;LREN3;LREN3;JBSS3;JBSS3;ITSA4;ITSA4;ITSA4;WEGE3;ITSA4;ITSA4;ITSA4;WEGE3;HAPV3;SUZB3;SUZB3;SUZB3;WEGE3;ITSA4;ITSA4;ITSA4;JBSS3;ITSA4;ITSA4;SUZB3;JBSS3;JBSS3;WEGE3;WEGE3;ITSA4;JBSS3;RENT3;RENT3
